ID,CODIGO DE LA ENTIDAD,CODIGO UBIGEO INEI,CODIGO PAIS ,NOMBRE DE LA UO,Fecha,CO (ug/m3),H2S (ug/m3),NO2 (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),Ruido (dB),UV,Humedad (%),Latitud,Longitud,Presion (hPa),Temperatura (C),Distrito
1,10069,150122,PE,Subgerencia de Desarrollo Ambiental,2020-10-01 00:00:00,0.0,0.0,85.055,0.0,158.338,18.643,7.178,102.798,0.0,95.821,-12.1097229999997,-77.0519399999993,1007.77687,16.181,San Isidro
2,10069,150122,PE,Subgerencia de Desarrollo Ambiental,2020-10-01 01:00:00,0.0,0.0,83.867,0.0,181.587,20.698,7.164,95.515,0.0,97.535,-12.1097229999998,-77.0519399999991,1007.26426,15.881,San Isidro
3,10069,150122,PE,Subgerencia de Desarrollo Ambiental,2020-10-01 02:00:00,0.0,0.0,79.019,0.0,172.843,20.425,7.204,69.129,0.0,98.081,-12.1097229999997,-77.0519399999993,1006.89522,15.868,San Isidro
4,10069,150122,PE,Subgerencia de Desarrollo Ambiental,2020-10-01 03:00:00,0.0,0.0,77.795,0.0,134.186,17.622,7.184,82.583,0.0,98.376,-12.1097229999998,-77.0519399999992,1006.3142,15.84,San Isidro
5,10069,150122,PE,Subgerencia de Desarrollo Ambiental,2020-10-01 04:00:00,0.0,0.0,77.488,0.0,99.566,15.752,7.191,73.17,0.0,98.79,-12.1097229999997,-77.0519399999993,1005.68577,15.81,San Isidro
6,10069,150122,PE,Subgerencia de Desarrollo Ambiental,2020-10-01 05:00:00,0.0,0.0,79.472,0.0,99.433,16.644,7.189,73.792,0.0,99.198,-12.1097229999998,-77.0519399999991,1005.69937,15.796,San Isidro
7,10069,150122,PE,Subgerencia de Desarrollo Ambiental,2020-10-01 06:00:00,0.0,0.0,85.369,0.0,114.428,17.305,7.196,85.977,0.0,99.3,-12.1097229999997,-77.0519399999993,1006.25378,15.713,San Isidro
8,10069,150122,PE,Subgerencia de Desarrollo Ambiental,2020-10-01 07:00:00,0.0,0.0,96.957,0.0,68.642,15.776,7.261,93.898,0.0,99.3,-12.1097229999998,-77.0519399999991,1006.8816099999999,15.722,San Isidro
9,10069,150122,PE,Subgerencia de Desarrollo Ambiental,2020-10-01 08:00:00,48.38,0.0,93.594,0.0,97.791,16.696,7.331,103.128,0.304,99.3,-12.1097229999997,-77.0519399999993,1007.39235,15.979,San Isidro
10,10069,150122,PE,Subgerencia de Desarrollo Ambiental,2020-10-01 09:00:00,0.0,0.0,63.263,0.0,31.7,9.776,7.575,100.398,1.135,98.622,-12.1097229999998,-77.051939999999,1007.86121,16.301,San Isidro
11,10069,150122,PE,Subgerencia de Desarrollo Ambiental,2020-10-01 10:00:00,0.0,0.0,30.265,0.0,24.073,8.166,8.421,97.528,4.54,95.153,-12.1097229999997,-77.0519399999993,1007.76102,17.241,San Isidro
12,10069,150122,PE,Subgerencia de Desarrollo Ambiental,2020-10-01 11:00:00,0.0,0.0,14.845,0.386,22.783,7.76,8.412,103.291,3.923,92.498,-12.1097229999998,-77.051939999999,1007.3947199999999,17.28,San Isidro
